Country Name,Access to clean fuels and technologies for cooking (% of population) ,Access to electricity (% of population) ,Adjusted savings: natural resources depletion (% of GNI) ,CO2 emissions (metric tons per capita) ,Energy use (kg of oil equivalent per capita) ,Forest area (% of land area) ,Agricultural land (% of land area) ,GDP growth (annual %) ,Net migration ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) ",Population density (people per sq. km of land area) ,Renewable energy consumption (% of total final energy consumption) ,Tree Cover Loss (hectares) 
St. Kitts and Nevis,100,96.49725342,2.843158521,4.35741038,1690.743713,42.30769231,19.23076923,9.732820703,-222,7.864959375,179.7115385,25.3,19
St. Lucia,92.1,90.08137512,0.009129371333,2.48570012,743.7147038,34.24590164,17.86885246,-0.4103047263,-88,19.86449855,271.1245902,18.44,54
St. Vincent and the Grenadines,95.9,86.1885376,0.01084190181,2.050105763,597.9847023,73.17948718,17.94871795,2.488557339,-1757,19.90198884,287.2897436,5.81,17
Sudan,18,30.47675896,6.015399814,0.3553078872,507.0569542,11.83108796,56.91077441,5.643515513,-10644,51.32188604,12.43290278,72.28,100
Suriname,82.3,94.85642242,8.877660408,3.268490179,1224.408198,98.20746795,0.4666666667,4.500000211,-1542,23.88703156,3.309102564,18.88,3512
Sweden,100,100,0.06768527794,5.546508738,5711.127283,69.02838098,7.85879697,2.85880324,39103,7.30670874,22.16717889,39.3,248560
Switzerland,100,100,0.00282792821,6.165119136,3488.218348,30.75728279,39.23487764,2.749698985,32421,13.06616084,188.1981564,18.73,2321
Syrian Arab Republic,98.9,92.00531769,4.235523359,3.079082223,1118.828597,2.517186904,75.32821267,6.215077835,13431,31.16942288,101.2341723,2.1,792
Tajikistan,54.3,99.3,0.2426213868,0.3566385175,337.7180013,2.929408402,33.38096599,6.699998517,-27949,32.78807708,49.50803801,63.73,29
Tanzania,0.8,13.7959013,0.5830795457,0.143510929,437.2026221,58.48951231,39.86701287,7.47631926,-128147,24.91499035,44.5241646,90.76,91583
Thailand,66.7,92.82519531,2.09609652,3.374235962,1504.153697,38.2381726,43.76675997,4.187638429,70281,35.32246182,128.8366576,20.11,84287
Timor-Leste,2.3,33.50081253,0.568877689,0.1864206918,59.83619326,63.35574983,22.39408204,2.984579638,-1481,16.77624805,65.18581036,43.61,1311
Togo,1.3,26.50247002,6.478331639,0.3060615096,415.2525117,23.04958632,64.717779,-4.666299382,-4438,43.52693562,105.0118956,77.22,2048
Tonga,47.3,89.01767731,0.02407418032,1.109501766,539.604101,12.43055556,41.66666667,0.08103389373,-1812,10.91209119,146.7125,2.15,2634.928571
Trinidad and Tobago,100,95,12.55114792,12.84078666,11771.60126,45.71734893,10.52631579,6.20893788,-3595,19.3594652,266.8762183,0.54,1229
Tunisia,97.8,99.2,3.018777972,2.265866436,800.3609622,4.361740474,63.23377961,3.486545543,-29303,31.66796588,66.86627188,14.18,633
Turkiye,92.7,99.67875671,0.1043661468,3.420478493,1225.702253,26.78652729,53.56210127,8.992304936,-23548,25.96758518,89.26979847,15.34,20411
Turkmenistan,99.7,99.53642273,34.09561084,10.35506138,3924.715936,8.782159045,74.22382057,13.03403487,-8252,21.93514106,10.39681442,0.08,31
Tuvalu,24.1,95.50363159,5.454405114,0.8575464084,1586.990429,33.33333333,56.66666667,-4.651162791,-10,5.857286137,330.4,0.02,8918.071429
